ngram,count,z_score
within italic,12,2.8938342067990805
italic strikeout,12,2.8938342067990805
strikeout bold,12,2.8938342067990805
bold underlined,12,2.8938342067990805
underlined underlined,12,2.8938342067990805
underlined crossedout,12,2.8938342067990805
crossedout tei,1,-0.30412378896591885
tei corpus,1,-0.30412378896591885
corpus contains,1,-0.30412378896591885
the whole,1,-0.30412378896591885
whole of,1,-0.30412378896591885
a tei,2,-0.013400334805464332
tei encoded,1,-0.30412378896591885
encoded corpus,1,-0.30412378896591885
corpus comprising,1,-0.30412378896591885
comprising a,1,-0.30412378896591885
a contains,3,0.2773231193549902
a distinct,1,-0.30412378896591885
distinct document,1,-0.30412378896591885
document within,1,-0.30412378896591885
within the,3,0.2773231193549902
corpus either,1,-0.30412378896591885
either spoken,1,-0.30412378896591885
spoken character,1,-0.30412378896591885
character contains,1,-0.30412378896591885
a significant,1,-0.30412378896591885
significant punctuation,1,-0.30412378896591885
punctuation mark,2,-0.013400334805464332
mark as,1,-0.30412378896591885
as identified,2,-0.013400334805464332
identified by,2,-0.013400334805464332
the claws,4,0.5680465735154447
claws tagger,1,-0.30412378896591885
tagger the,1,-0.30412378896591885
claws 5,3,0.2773231193549902
5 code,3,0.2773231193549902
code associated,3,0.2773231193549902
this punctuation,1,-0.30412378896591885
punctuation any,1,-0.30412378896591885
any separating,1,-0.30412378896591885
separating punctuation,1,-0.30412378896591885
mark opening,1,-0.30412378896591885
opening round,1,-0.30412378896591885
round or,2,-0.013400334805464332
or square,2,-0.013400334805464332
square parenthesis,2,-0.013400334805464332
parenthesis closing,1,-0.30412378896591885
closing round,1,-0.30412378896591885
parenthesis any,1,-0.30412378896591885
any quotation,1,-0.30412378896591885
quotation mark,1,-0.30412378896591885
mark category,1,-0.30412378896591885
category description,1,-0.30412378896591885
description provides,2,-0.013400334805464332
a description,2,-0.013400334805464332
description for,1,-0.30412378896591885
one category,1,-0.30412378896591885
category within,2,-0.013400334805464332
the text,5,0.8587700276758993
text taxonomies,1,-0.30412378896591885
taxonomies category,1,-0.30412378896591885
category reference,1,-0.30412378896591885
reference provides,1,-0.30412378896591885
a list,8,1.7309403901572629
list of,7,1.4402169359968082
of codes,1,-0.30412378896591885
codes identifying,1,-0.30412378896591885
identifying the,3,0.2773231193549902
the categories,2,-0.013400334805464332
categories to,1,-0.30412378896591885
which identifies,2,-0.013400334805464332
categories concerned,1,-0.30412378896591885
concerned category,1,-0.30412378896591885
category defines,1,-0.30412378896591885
defines a,2,-0.013400334805464332
single category,1,-0.30412378896591885
within a,3,0.2773231193549902
a taxonomy,1,-0.30412378896591885
taxonomy of,1,-0.30412378896591885
of texts,1,-0.30412378896591885
texts summarizes,1,-0.30412378896591885
summarizes a,1,-0.30412378896591885
a particular,2,-0.013400334805464332
particular change,1,-0.30412378896591885
change or,1,-0.30412378896591885
or correction,1,-0.30412378896591885
correction made,1,-0.30412378896591885
made supplies,1,-0.30412378896591885
the date,2,-0.013400334805464332
date of,1,-0.30412378896591885
the change,1,-0.30412378896591885
change in,1,-0.30412378896591885
in standard,1,-0.30412378896591885
standard form,1,-0.30412378896591885
form ie,1,-0.30412378896591885
ie yyyymmdd,1,-0.30412378896591885
yyyymmdd indicates,1,-0.30412378896591885
indicates the,12,2.8938342067990805
the person,4,0.5680465735154447
person or,5,0.8587700276758993
or group,4,0.5680465735154447
group of,6,1.1494934818363538
of classcode,1,-0.30412378896591885
classcode contains,1,-0.30412378896591885
the classification,2,-0.013400334805464332
classification code,1,-0.30412378896591885
code used,1,-0.30412378896591885
for this,1,-0.30412378896591885
this text,1,-0.30412378896591885
in some,1,-0.30412378896591885
some identifies,1,-0.30412378896591885
classification system,1,-0.30412378896591885
system or,1,-0.30412378896591885
or taxonomy,1,-0.30412378896591885
taxonomy in,1,-0.30412378896591885
in use,1,-0.30412378896591885
use classification,1,-0.30412378896591885
classification declarations,1,-0.30412378896591885
declarations contains,1,-0.30412378896591885
contains one,4,0.5680465735154447
more taxonomies,1,-0.30412378896591885
taxonomies defining,1,-0.30412378896591885
defining any,1,-0.30412378896591885
any classificatory,1,-0.30412378896591885
classificatory supplies,1,-0.30412378896591885
supplies any,2,-0.013400334805464332
any additional,4,0.5680465735154447
additional icuconformant,2,-0.013400334805464332
icuconformant collating,1,-0.30412378896591885
collating rules,1,-0.30412378896591885
rules to,2,-0.013400334805464332
used when,1,-0.30412378896591885
when sorting,1,-0.30412378896591885
sorting correction,1,-0.30412378896591885
correction contains,1,-0.30412378896591885
the correct,1,-0.30412378896591885
correct form,1,-0.30412378896591885
form of,46,12.778431648254534
a passage,2,-0.013400334805464332
passage apparently,1,-0.30412378896591885
apparently erroneous,1,-0.30412378896591885
erroneous in,1,-0.30412378896591885
the copy,1,-0.30412378896591885
copy text,1,-0.30412378896591885
text contains,3,0.2773231193549902
contains verbatim,1,-0.30412378896591885
verbatim text,1,-0.30412378896591885
text which,1,-0.30412378896591885
which has,3,0.2773231193549902
been corrected,1,-0.30412378896591885
corrected or,1,-0.30412378896591885
or an,3,0.2773231193549902
an empty,1,-0.30412378896591885
empty string,1,-0.30412378896591885
string if,1,-0.30412378896591885
if a,1,-0.30412378896591885
crossedout a,1,-0.30412378896591885
code identifying,1,-0.30412378896591885
the agency,2,-0.013400334805464332
agency responsible,3,0.2773231193549902
responsible for,4,0.5680465735154447
for making,1,-0.30412378896591885
making the,1,-0.30412378896591885
the contains,1,-0.30412378896591885
contains information,1,-0.30412378896591885
the creation,1,-0.30412378896591885
text supplies,2,-0.013400334805464332
the year,1,-0.30412378896591885
original composition,1,-0.30412378896591885
composition if,1,-0.30412378896591885
if known,1,-0.30412378896591885
known or,1,-0.30412378896591885
or 0000000,1,-0.30412378896591885
0000000 if,1,-0.30412378896591885
if contains,1,-0.30412378896591885
a date,1,-0.30412378896591885
date in,1,-0.30412378896591885
in any,1,-0.30412378896591885
any format,1,-0.30412378896591885
format supplies,1,-0.30412378896591885
a standardized,1,-0.30412378896591885
standardized representation,1,-0.30412378896591885
representation of,1,-0.30412378896591885
date specifies,1,-0.30412378896591885
the default,3,0.2773231193549902
default declared,1,-0.30412378896591885
declared value,1,-0.30412378896591885
value for,1,-0.30412378896591885
for an,3,0.2773231193549902
an attribute,3,0.2773231193549902
attribute description,1,-0.30412378896591885
description contains,2,-0.013400334805464332
brief description,3,0.2773231193549902
the purpose,1,-0.30412378896591885
purpose and,1,-0.30412378896591885
and application,1,-0.30412378896591885
application for,1,-0.30412378896591885
contains an,4,0.5680465735154447
an informal,2,-0.013400334805464332
the regional,1,-0.30412378896591885
regional variety,1,-0.30412378896591885
variety of,1,-0.30412378896591885
of supplies,1,-0.30412378896591885
a person,1,-0.30412378896591885
other agency,1,-0.30412378896591885
for the,8,1.7309403901572629
text division,1,-0.30412378896591885
division contains,1,-0.30412378896591885
a subdivision,1,-0.30412378896591885
subdivision of,1,-0.30412378896591885
the front,1,-0.30412378896591885
front body,1,-0.30412378896591885
